ecosystem,observation_subset,observation_subset_label,mode,degrees_of_freedom,averaging_kernel_diagonal,posterior_sd,prior_sd,uncertainty_reduction_fraction,information_gain_nats,posterior_log10_sd
Eight-mile Lake,resp14c_only,Respired 14C,slow,0.6436906243931189,0.6436906243931189,0.29845827832667043,0.5,0.6436906243931189,0.515977946458357,-0.5251163705946171
Eight-mile Lake,stocks_soil14c,Stocks + Soil 14C,fast,0.9999431436358689,0.9999431436358689,0.003766714815215681,0.49954336881637573,0.9999431436358689,4.887491199007683,-2.4240372597719504
Eight-mile Lake,stocks_soil14c,Stocks + Soil 14C,intermediate,0.9721174088684454,0.9721174088684454,0.08349040533431747,0.5,0.9721174088684454,1.7898763793434411,-1.078363430501809
Eight-mile Lake,stocks_soil14c,Stocks + Soil 14C,slow,0.8947723942988715,0.8947723942988715,0.1621940240122371,0.5,0.8947723942988715,1.1258148007473727,-0.7899651512735741
Eight-mile Lake,stocks_resp14c,Stocks + Respired 14C,fast,0.999788631136854,0.999788631136854,0.007262626401329876,0.49954336881637573,0.999788631136854,4.230952892092063,-2.138906295920393
Eight-mile Lake,stocks_resp14c,Stocks + Respired 14C,intermediate,0.8134563501354243,0.8134563501354243,0.2159534960729831,0.5,0.8134563501354243,0.8395450098759403,-0.6656397607625131
Eight-mile Lake,stocks_resp14c,Stocks + Respired 14C,slow,0.9486624322686247,0.9486624322686247,0.11328897533671946,0.5,0.9486624322686247,1.4846662401825215,-0.9458123512432982
Eight-mile Lake,all_observations,All observations,fast,0.9999934839963964,0.9999934839963964,0.001275157578150155,0.49954336881637573,0.9999934839963964,5.9706246570971,-2.8944361437849717
Eight-mile Lake,all_observations,All observations,intermediate,0.9805800767153707,0.9805800767153707,0.06967769242130016,0.5,0.9805800767153707,1.9707278832274062,-1.1569062406825197
Eight-mile Lake,all_observations,All observations,slow,0.9287151891687389,0.9287151891687389,0.13349607749973516,0.5,0.9287151891687389,1.3205360030380033,-0.8745314949379619
