site_id,site_label,subset_key,subset_label,sample_idx,frac_loss,abs_loss,old_fraction
US-Ho1,Howland Forest,resp14c_only,Resp 14C,3,0.10354069328760139,1316.702880859375,0.7980228609185444
US-Ho1,Howland Forest,resp14c_only,Resp 14C,4,0.09855561336573566,1213.7274169921875,0.7738718408995942
US-Ho1,Howland Forest,resp14c_only,Resp 14C,5,0.0978272114831798,1188.218505859375,0.7770513776732081
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",0,0.06905375611964107,882.4922180175781,0.6172330154618229
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",1,0.06758429856660937,861.3470764160156,0.604386054253599
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",2,0.06615010493870185,843.5148315429688,0.5879463503344317
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",3,0.06523249058971484,831.3055725097656,0.5830396278470698
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",4,0.06523249058971484,831.3055725097656,0.5830396278470698
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",5,0.06532695866993397,835.0851745605469,0.5809570066815851
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",0,0.07232441005409568,972.2880859375,0.6806685037059583
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",1,0.07232441005409568,972.2880859375,0.6806685037059583
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",2,0.07608070110533002,1011.1533813476562,0.7038462402984939
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",3,0.06904935643701204,945.8500366210938,0.6912887290130089
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",4,0.06907071512977081,1026.8511352539062,0.7205224484183549
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",5,0.06907071512977081,1026.8511352539062,0.7205224484183549
US-Ho1,Howland Forest,all_observations,All,0,0.06637214366968752,852.09130859375,0.5801356619424939
US-Ho1,Howland Forest,all_observations,All,1,0.06717965050136537,860.9345703125,0.5907513068407216
US-Ho1,Howland Forest,all_observations,All,2,0.06830565749244899,879.2341003417969,0.5976376607620622
US-Ho1,Howland Forest,all_observations,All,3,0.06830565749244899,879.2341003417969,0.5976376607620622
US-Ho1,Howland Forest,all_observations,All,4,0.06571848356740256,843.4167785644531,0.5819264915936089
US-Ho1,Howland Forest,all_observations,All,5,0.06446039285251451,824.9770202636719,0.573162645901949
US-EML,Eight-mile Lake,prior_only,Prior,0,0.2063172603607781,3639.9476318359375,0.5882776558667036
US-EML,Eight-mile Lake,prior_only,Prior,1,0.10826968833717486,4243.6654052734375,0.865184178651093
US-EML,Eight-mile Lake,prior_only,Prior,2,0.19399779093175085,4699.765380859375,0.8687651024367179
US-EML,Eight-mile Lake,prior_only,Prior,3,0.08425674619697401,3197.6873779296875,0.8141744337005494
US-EML,Eight-mile Lake,prior_only,Prior,4,0.22613005715194862,2212.45703125,0.5212987877304718
US-EML,Eight-mile Lake,prior_only,Prior,5,0.21046311400466156,2124.2860107421875,0.4642877091641636
US-EML,Eight-mile Lake,stocks_only,Stocks,0,0.13431687924622107,3763.41162109375,0.649629690165965
US-EML,Eight-mile Lake,stocks_only,Stocks,1,0.13854910444683244,3914.5958251953125,0.6357406689544998
US-EML,Eight-mile Lake,stocks_only,Stocks,2,0.14302548789705455,3596.298583984375,0.6531588914097574
US-EML,Eight-mile Lake,stocks_only,Stocks,3,0.15980429917779365,3425.880859375,0.6458630403499519
US-EML,Eight-mile Lake,stocks_only,Stocks,4,0.15980429917779365,3425.880859375,0.6458630403499519
