site,site_id,param_index_subset,param_name,param_label_short,obs_index,obs_block_name,obs_family,obs_label_short,obs_label_full,y_obs,y_prior,y_opt,obs_sigma,obs_variance,gain_value,abs_gain_value,rank_within_param_by_abs_gain
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,2,resp_14C,resp_delta14C,resp[3],resp_14C[3],111.25503540039062,356.6755676269531,130.28033447265625,15.0,225.0,-0.0005331824093403555,0.0005331824093403555,19
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,3,resp_14C,resp_delta14C,resp[4],resp_14C[4],122.13999938964844,357.9119873046875,128.779541015625,15.0,225.0,-0.0003652955580075678,0.0003652955580075678,29
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,4,resp_14C,resp_delta14C,resp[5],resp_14C[5],116.20269775390625,361.8148498535156,127.8724594116211,15.0,225.0,-0.0002271448702124955,0.0002271448702124955,33
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,5,resp_14C,resp_delta14C,resp[6],resp_14C[6],133.4375,364.6566467285156,126.0113296508789,15.0,225.0,-2.0723500408310347e-05,2.0723500408310347e-05,46
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,6,resp_14C,resp_delta14C,resp[7],resp_14C[7],140.80340576171875,325.9229736328125,120.10479736328125,15.0,225.0,2.988914250860457e-05,2.988914250860457e-05,43
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,7,resp_14C,resp_delta14C,resp[8],resp_14C[8],154.47369384765625,319.8359375,118.4300308227539,15.0,225.0,0.00010255102096376665,0.00010255102096376665,37
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,8,resp_14C,resp_delta14C,resp[9],resp_14C[9],102.98429870605469,328.4015197753906,116.58540344238281,15.0,225.0,0.00033970273186987405,0.00033970273186987405,30
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,9,resp_14C,resp_delta14C,resp[10],resp_14C[10],104.1613998413086,324.26251220703125,115.2850570678711,15.0,225.0,0.0003858051124434165,0.0003858051124434165,28
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,10,resp_14C,resp_delta14C,resp[11],resp_14C[11],122.69345092773438,316.0093078613281,113.92848205566406,15.0,225.0,0.00038833255084939195,0.00038833255084939195,27
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,11,resp_14C,resp_delta14C,resp[12],resp_14C[12],127.38351440429688,305.64947509765625,112.1668472290039,15.0,225.0,0.00039443817762251234,0.00039443817762251234,25
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,12,resp_14C,resp_delta14C,resp[13],resp_14C[13],113.92005157470703,301.0716857910156,111.2138900756836,15.0,225.0,0.0004077521600365441,0.0004077521600365441,24
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,13,resp_14C,resp_delta14C,resp[14],resp_14C[14],109.93000030517578,299.8355407714844,110.24927520751953,15.0,225.0,0.0004552838479098738,0.0004552838479098738,22
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,14,resp_14C,resp_delta14C,resp[15],resp_14C[15],106.99749755859375,300.1088562011719,110.18736267089844,15.0,225.0,0.0004618956305916775,0.0004618956305916775,21
