site_name,lat,lon,layer_obs,layer_entries,layer_entry_names,fraction_obs,fraction_entries,fraction_entry_names,flux_obs,flux_entries,flux_entry_names,incubation_obs,incubation_entries,incubation_entry_names,interstitial_obs,interstitial_entries,interstitial_entry_names,has_layer,has_fraction,has_respiration,has_interstitial,eligible_fraction,eligible_pool_resp,eligible,eligibility_path
MI-Coarse UMBS,45.5598,-84.7138,48,1,McFarlane_2013,30,1,McFarlane_2013,0,0,,13,1,Trumbore_inc_unpublished,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
MI_Spodosol,45.64611,-84.9722,4,1,Heckman_2018,33,1,Heckman_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
MO Ozark BREA,38.7441,-92.2,34,1,McFarlane_2013,30,1,McFarlane_2013,0,0,,8,1,Trumbore_inc_unpublished,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Malans,46.98977531683,9.56848027429031,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Manacapuru,-3.278917,-60.501833,6,1,Kuhnen_2019,0,0,,0,0,,6,1,Kuhnen_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Manawatu,-40.4,175.3,14,1,Goh_1976,12,1,Goh_1976,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Matador,50.798452,-107.899323,1,1,Martel_1974,9,1,Martel_1974,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Maui,20.80833,-156.25,36,1,Schuur_2001,18,1,Schuur_2001,0,0,,90,1,Schuur_2001,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Medvezhka,69.65,162.516667,1,1,Dutta_2006,4,1,Dutta_2006,0,0,,1,1,Dutta_2006,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Meggen,47.0585378530504,8.37503103052933,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Meiringen,46.7571541359037,8.13968410645333,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Metzerlen-Mariastein,47.4556756580239,7.47973226119748,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Mi-Fine Colonial Point,45.4846,-84.6843,37,1,McFarlane_2013,30,1,McFarlane_2013,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
MiddleHayden,46.4987294,-122.7244703,11,1,Trumbore_2021,0,0,,0,0,,3,1,Trumbore_2021,0,0,,True,False,True,False,False,True,True,pool+respiration
Moor House Nature Reserve,55.08333,-2.75,0,0,,11,1,Bol_1996,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Mount Acuto 1,43.471,12.68,0,0,,12,1,De_Feudis_2019,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
