network,tower_id,tower_name,tower_lat,tower_lon,nearest_layer_site,nearest_layer_km,nearest_layer_obs,nearest_fraction_site,nearest_fraction_km,nearest_fraction_obs,nearest_flux_site,nearest_flux_km,nearest_flux_obs,nearest_incubation_site,nearest_incubation_km,nearest_incubation_obs,nearest_interstitial_site,nearest_interstitial_km,nearest_interstitial_obs,nearest_eligible_path,nearest_eligible_site,nearest_eligible_km,nearest_fraction_path_site,nearest_fraction_path_km,nearest_pool_resp_path_site,nearest_pool_resp_path_km,eligible_within_1km,eligible_within_25km
AmeriFlux,US-CZ4,"Sierra Critical Zone, Sierra Transect, Subalpine Forest, Shorthair",37.0675,-118.9867,TEAK,7.068563548617011,5,Trumbore Shaver,18.299851474532826,53,Musick,25.59874281862517,16,Trumbore Shaver,18.299851474532826,6,Sedgwick Reserve,280.135079097666,29,fraction|pool+respiration,Trumbore Shaver,18.299851474532826,Trumbore Shaver,18.299851474532826,Trumbore Shaver,18.299851474532826,False,True
AmeriFlux,US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,45.9245,-90.2475,Willow Creek,18.50208307480153,23,S1_Bog_MEF,301.0967875136241,27,Dinesen,618.3253950747081,7,Willow Creek,18.50208307480153,26,TH_Young_Jack_Pine,1241.8907668431866,8,pool+respiration,Willow Creek,18.50208307480153,S1_Bog_MEF,301.0967875136241,Willow Creek,18.50208307480153,False,True
AmeriFlux,US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,45.9271,-90.2475,Willow Creek,18.709037692514052,23,S1_Bog_MEF,300.9233332590182,27,Dinesen,618.5385313998459,7,Willow Creek,18.709037692514052,26,TH_Young_Jack_Pine,1241.6264177088078,8,pool+respiration,Willow Creek,18.709037692514052,S1_Bog_MEF,300.9233332590182,Willow Creek,18.709037692514052,False,True
AmeriFlux,US-Fcr,Cascaden Ridge Fire Scar,65.3968,-148.9348,Hess Creek,18.99539663557391,41,Hess Creek,18.99539663557391,22,CPCRW,71.43753791237965,2,CPCRW,71.43753791237965,2,Ikpikpuk River,642.9280559882745,1,fraction,Hess Creek,18.99539663557391,Hess Creek,18.99539663557391,EML,169.52345576729135,False,True
AmeriFlux,US-PFs,SE5 Aspen-5 CHEESEHEAD 2019,45.9381,-90.2382,Willow Creek,19.138756069101333,23,S1_Bog_MEF,300.7686527413867,27,Dinesen,619.9263086289488,7,Willow Creek,19.138756069101333,26,TH_Young_Jack_Pine,1240.7997423753116,8,pool+respiration,Willow Creek,19.138756069101333,S1_Bog_MEF,300.7686527413867,Willow Creek,19.138756069101333,False,True
AmeriFlux,US-MWU,Battle Creek Area Mathematics and Science Center,42.3228,-85.1871,Kellogg Biological Station,19.78753854488087,1,Kellogg Biological Station,19.78753854488087,7,Dinesen,836.0659722276544,7,ARL,358.6921699947932,24,HarvardForest,1066.5034614425028,113,fraction,Kellogg Biological Station,19.78753854488087,Kellogg Biological Station,19.78753854488087,ARL,358.6921699947932,False,True
AmeriFlux,US-PFo,SE1 Lake-2 CHEESEHEAD 2019,45.9229,-90.2728,Willow Creek,19.807957126244137,23,S1_Bog_MEF,299.6411238342175,27,Dinesen,616.8734525068577,7,Willow Creek,19.807957126244137,26,TH_Young_Jack_Pine,1241.26226985267,8,pool+respiration,Willow Creek,19.807957126244137,S1_Bog_MEF,299.6411238342175,Willow Creek,19.807957126244137,False,True
AmeriFlux,US-SCd,Southern California Climate Gradient - Sonoran Desert,33.6518,-116.3721,Joshua_Tree,20.101173874949303,12,Camp_Osceola,74.06358656495695,53,Sedgwick Reserve,357.8277764779413,9,Joshua_Tree,20.101173874949303,21,Sedgwick Reserve,357.8277764779413,29,pool+respiration,Joshua_Tree,20.101173874949303,Camp_Osceola,74.06358656495695,Joshua_Tree,20.101173874949303,False,True
AmeriFlux,US-PFp,SE2 Hardwood-4 CHEESEHEAD 2019,45.9365,-90.2641,Willow Creek,20.35362666538884,23,S1_Bog_MEF,299.26919264419524,27,Dinesen,618.4443332391943,7,Willow Creek,20.35362666538884,26,TH_Young_Jack_Pine,1240.1510040018227,8,pool+respiration,Willow Creek,20.35362666538884,S1_Bog_MEF,299.26919264419524,Willow Creek,20.35362666538884,False,True
AmeriFlux,US-PFj,NE4 Maple-1 CHEESEHEAD 2019,45.9619,-90.227,Willow Creek,20.749525359836618,23,S1_Bog_MEF,299.89812309247867,27,Dinesen,622.4639379088796,7,Willow Creek,20.749525359836618,26,TH_Young_Jack_Pine,1238.7333594688175,8,pool+respiration,Willow Creek,20.749525359836618,S1_Bog_MEF,299.89812309247867,Willow Creek,20.749525359836618,False,True
