ecosystem,observation_subset,draw,year,carbon_loss,excess_respiration,slow_excess_respiration,slow_fraction_of_excess_respiration
Barrow,stocks_only,1,100,2082.659637451172,2082.5098737049384,98.09856418557943,0.047105929928223995
Barrow,stocks_only,2,100,2169.938995361328,2169.7746762981596,109.26947188117694,0.050359824489979284
Barrow,stocks_only,3,100,2169.938995361328,2169.7746762981596,109.26947188117694,0.050359824489979284
Barrow,stocks_only,4,100,2169.938995361328,2169.7746762981596,109.26947188117694,0.050359824489979284
Barrow,stocks_only,5,100,2169.938995361328,2169.7746762981596,109.26947188117694,0.050359824489979284
Barrow,stocks_only,6,100,2200.5044860839844,2200.9156805510675,116.05383732722251,0.05272979712615107
Barrow,stocks_only,7,100,2200.5044860839844,2200.9156805510675,116.05383732722251,0.05272979712615107
Barrow,stocks_only,8,100,2114.5387573242188,2115.3906812074392,104.84196463212756,0.04956151389127092
Barrow,stocks_only,9,100,2114.5387573242188,2115.3906812074392,104.84196463212756,0.04956151389127092
Barrow,stocks_only,10,100,2206.0403747558594,2206.841197516094,98.50673420043508,0.04463698353615528
Barrow,stocks_only,11,100,1810.1134948730469,1810.7168727546803,86.8593065388433,0.047969568211236956
Barrow,soil14c_only,0,100,1654.1673583984375,1653.675374942379,132.07068877744058,0.07986494252660833
Barrow,soil14c_only,1,100,1654.1673583984375,1653.675374942379,132.07068877744058,0.07986494252660833
Barrow,soil14c_only,2,100,1654.1673583984375,1653.675374942379,132.07068877744058,0.07986494252660833
Barrow,soil14c_only,3,100,1654.1673583984375,1653.675374942379,132.07068877744058,0.07986494252660833
Barrow,soil14c_only,4,100,1654.1673583984375,1653.675374942379,132.07068877744058,0.07986494252660833
Barrow,soil14c_only,5,100,1654.1673583984375,1653.675374942379,132.07068877744058,0.07986494252660833
Barrow,soil14c_only,6,100,1670.3397216796875,1670.3935717863117,138.83661976228473,0.08311611233861098
Barrow,soil14c_only,7,100,1670.3397216796875,1670.3935717863117,138.83661976228473,0.08311611233861098
Barrow,soil14c_only,8,100,1664.9423217773438,1665.5055492312906,159.4748232593068,0.09575160126780241
Barrow,soil14c_only,9,100,1680.7047119140625,1680.4146455382747,155.12221925953202,0.09231187056801857
Barrow,soil14c_only,10,100,1696.45166015625,1698.8040880251854,203.3958326372279,0.1197288339903103
Barrow,soil14c_only,11,100,1696.45166015625,1698.8040880251854,203.3958326372279,0.1197288339903103
Barrow,resp14c_only,0,100,1924.3582153320312,1924.3978924144478,65.76142420184229,0.0341724673785288
Barrow,resp14c_only,1,100,1924.3582153320312,1924.3978924144478,65.76142420184229,0.0341724673785288
Barrow,resp14c_only,2,100,1920.1109619140625,1920.0635666373814,71.11525907577868,0.03703797119609079
Barrow,resp14c_only,3,100,1769.255126953125,1768.9818484142136,57.70505305022773,0.032620489069436674
Barrow,resp14c_only,4,100,1575.718994140625,1575.8037469598864,52.44412687106445,0.033280874583679655
Barrow,resp14c_only,5,100,1525.3502807617188,1525.3578052519779,45.14386644466241,0.02959559146662312
Barrow,resp14c_only,6,100,1532.8854370117188,1532.967876605678,49.629081894421546,0.03237450872376468
Barrow,resp14c_only,7,100,1560.69287109375,1560.5578847507315,45.28908213922263,0.02902108443510679
Barrow,resp14c_only,8,100,1560.69287109375,1560.5578847507315,45.28908213922263,0.02902108443510679
Barrow,resp14c_only,9,100,1558.10986328125,1558.0468151239209,47.93359802759475,0.030765184692978755
Barrow,resp14c_only,10,100,1558.10986328125,1558.0468151239209,47.93359802759475,0.030765184692978755
Barrow,resp14c_only,11,100,1418.112060546875,1418.0850215886665,47.74009686185961,0.03366518659676474
Barrow,stocks_soil14c,0,100,1474.6519775390625,1473.969055951419,104.13063848052913,0.0706464210086926
