ecosystem,model_source,draw_or_member,mode,turnover_time_years,carbon_stock,baseline_respiration,warm_respiration,cumulative_carbon_loss,slow_carbon_fraction_of_excess_respiration
Howland Forest,observation_constrained,8,intermediate,26.5990237829773,1949.964111328125,30.2269090483421,30.2269090483421,1408.0633544921875,0.0
Howland Forest,observation_constrained,8,slow,383.1032132765068,4876.2685546875,6.351206927717616,6.351206927717616,373.298828125,0.2646612533494753
Howland Forest,observation_constrained,9,fast,8.747076712891646,5985.9697265625,300.49736429937343,300.49736429937343,4411.0565185546875,0.0
Howland Forest,observation_constrained,9,intermediate,26.5990237829773,1949.964111328125,30.2269090483421,30.2269090483421,1408.0633544921875,0.0
Howland Forest,observation_constrained,9,slow,383.1032132765068,4876.2685546875,6.351206927717616,6.351206927717616,373.298828125,0.2646612533494753
Howland Forest,observation_constrained,10,fast,8.747076712891646,5985.9697265625,300.49736429937343,300.49736429937343,4411.0565185546875,0.0
Howland Forest,observation_constrained,10,intermediate,26.5990237829773,1949.964111328125,30.2269090483421,30.2269090483421,1408.0633544921875,0.0
Howland Forest,observation_constrained,10,slow,383.1032132765068,4876.2685546875,6.351206927717616,6.351206927717616,373.298828125,0.2646612533494753
Howland Forest,observation_constrained,11,fast,8.747076712891646,5985.9697265625,300.49736429937343,300.49736429937343,4411.0565185546875,0.0
Howland Forest,observation_constrained,11,intermediate,26.5990237829773,1949.964111328125,30.2269090483421,30.2269090483421,1408.0633544921875,0.0
Howland Forest,observation_constrained,11,slow,383.1032132765068,4876.2685546875,6.351206927717616,6.351206927717616,373.298828125,0.2646612533494753
Howland Forest,CESM,0,fast,0.7577598094940186,518.56494140625,255.97139835784162,336.69702268907815,-32.01800537109375,0.0
Howland Forest,CESM,0,intermediate,22.832839965820312,2000.9952392578125,36.931341051589406,57.299697596680936,1543.0003967285156,0.0
Howland Forest,CESM,0,slow,276.7358093261719,3750.662353515625,6.762807487492313,10.518078559020053,482.492919921875,0.4693345591454764
Eight-mile Lake,observation_constrained,0,fast,23.858996673067935,21521.232421875,232.82021674149112,232.82021674149112,7756.77734375,0.0
Eight-mile Lake,observation_constrained,0,intermediate,42.332503147872785,5514.80322265625,36.40954001058407,36.40954001058407,656.80419921875,0.0
Eight-mile Lake,observation_constrained,0,slow,1127.249305775628,10237.666015625,2.7139497675644044,2.7139497675644044,6.3798828125,0.01641278539536638
Eight-mile Lake,observation_constrained,1,fast,23.858996673067935,21521.232421875,232.82021674149112,232.82021674149112,7756.77734375,0.0
