site,label,biome,biome_group,family,n_obs_family,param,shapley_dfs
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,fraction_12C,0,tau_active,0.0
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,fraction_12C,0,tau_passive,0.0
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,fraction_12C,0,tau_slow,0.0
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,fraction_14C,0,f_a_to_s,0.0
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,fraction_14C,0,f_s_to_p,0.0
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,fraction_14C,0,tau_active,0.0
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,fraction_14C,0,tau_passive,0.0
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,fraction_14C,0,tau_slow,0.0
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,resp_14C,2,f_a_to_s,0.009644031854635183
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,resp_14C,2,f_s_to_p,0.0034629557204880527
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,resp_14C,2,tau_active,0.34282615244979714
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,resp_14C,2,tau_passive,0.00681214528049514
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,resp_14C,2,tau_slow,0.006314195151584441
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,C_stocks,1,f_a_to_s,0.1568237046221192
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,C_stocks,1,f_s_to_p,0.02956101477006273
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,C_stocks,1,tau_active,0.03693563050217043
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,C_stocks,1,tau_passive,0.03550000600742759
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,C_stocks,1,tau_slow,0.11222921267285166
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,ER_annual,1,f_a_to_s,5.7112389364123034e-05
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,ER_annual,1,f_s_to_p,2.314892654829306e-06
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,ER_annual,1,tau_active,0.0006284060657088607
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,ER_annual,1,tau_passive,2.738909297466702e-06
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,ER_annual,1,tau_slow,4.660045769547824e-06
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,bulk_14C,1,f_a_to_s,0.049552092907543505
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,bulk_14C,1,f_s_to_p,0.12644047023737423
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,bulk_14C,1,tau_active,0.13036340215548614
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,bulk_14C,1,tau_passive,0.15185278358649218
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,bulk_14C,1,tau_slow,0.011539286729575165
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_12C,0,f_a_to_s,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_12C,0,f_s_to_p,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_12C,0,tau_active,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_12C,0,tau_passive,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_12C,0,tau_slow,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_14C,0,f_a_to_s,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_14C,0,f_s_to_p,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_14C,0,tau_active,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_14C,0,tau_passive,0.0
